time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-07-10T22:58:20.200Z,38.8251647949219,-122.803169250488,2.66000008583069,0.92,md,15.0,65.0,0.005676,0.01,nc,nc75033422,2024-07-10T22:59:59.251Z,"7 km NNW of The Geysers, CA",earthquake,0.32,0.540000021,0.22,16.0,automatic,nc,nc
2024-07-10T23:21:27.460Z,38.7864990234375,-122.726333618164,1.76999998092651,0.76,md,6.0,111.0,0.00875,0.01,nc,nc75033447,2024-07-10T23:23:04.389Z,"3 km E of The Geysers, CA",earthquake,0.41,1.37,0.12,8.0,automatic,nc,nc
2024-07-10T23:14:34.650Z,38.8250007629395,-122.803833007812,2.67000007629395,0.76,md,10.0,65.0,0.005132,0.01,nc,nc75033432,2024-07-10T23:16:09.367Z,"7 km NNW of The Geysers, CA",earthquake,0.42,1.02999997,0.17,12.0,automatic,nc,nc
2024-07-10T08:01:54.980Z,61.3181666666667,-152.278,3.55,0.13,ml,5.0,145.0,0.07472,0.05,av,av93014949,2024-07-10T23:23:04.720Z,"67 km WNW of Beluga, Alaska",earthquake,0.58,0.75,0.250648200952277,6.0,reviewed,av,av
2024-07-10T23:33:15.070Z,38.829833984375,-122.837501525879,8.22000026702881,0.75,md,8.0,207.0,0.00698,0.04,nc,nc75033452,2024-07-10T23:34:49.549Z,"9 km NW of The Geysers, CA",earthquake,2.37,7.55000019,0.15,9.0,automatic,nc,nc
2024-07-10T20:41:47.134Z,37.2724,-114.9081,2.5,1.3,ml,3.0,174.43,0.176,0.0115,nn,nn00880709,2024-07-10T23:36:57.222Z,"24 km ESE of Alamo, Nevada",earthquake,,18.8,0.25,2.0,reviewed,nn,nn
2024-07-10T08:06:52.600Z,61.3205,-152.269333333333,3.65,0.14,ml,6.0,126.0,0.07915,0.06,av,av93192136,2024-07-10T23:35:24.010Z,"66 km WNW of Beluga, Alaska",earthquake,0.6,0.64,0.245820507256944,6.0,reviewed,av,av
2024-07-10T23:42:38.561Z,60.1419,-153.3665,17.9,0.6,ml,,,,0.51,ak,ak0248tx4os0,2024-07-10T23:44:24.118Z,"53 km E of Port Alsworth, Alaska",earthquake,,0.7,,,automatic,ak,ak
2024-07-10T23:35:38.770Z,38.8248329162598,-122.803169250488,2.49000000953674,1.08,md,17.0,41.0,0.01686,0.02,nc,nc75033457,2024-07-10T23:37:13.722Z,"7 km NNW of The Geysers, CA",earthquake,0.26,0.540000021,0.14,18.0,automatic,nc,nc
2024-07-10T08:03:34.590Z,61.3205,-152.270833333333,3.27,-0.13,ml,6.0,126.0,0.0787,0.04,av,av93014954,2024-07-10T23:41:36.740Z,"66 km WNW of Beluga, Alaska",earthquake,0.46,0.68,0.14985518552153,7.0,reviewed,av,av
